mean,std,max
116.1,80.4286640446054,415.0
145.28,104.45937775039636,433.0
187.22,129.92817862188326,535.0
252.04,212.32823269645516,1417.0
242.22,192.95422151380882,1259.0
195.62,132.10327626520095,408.0
205.18,143.96953705558687,409.0
191.4,141.0214168131919,410.0
223.02,131.05975583679378,414.0
232.1,141.2893838899441,408.0
231.96,137.62528256101785,468.0
182.94,145.00488405567586,769.0
222.14,179.45885433714326,782.0
275.48,301.76363200359316,1817.0
351.06,539.910118816086,2994.0
318.28,388.35195583388014,2659.0
329.74,375.87007382871013,2056.0
323.62,320.53716726769767,1734.0
308.06,415.99458698401355,2623.0
342.86,389.53829131421725,2039.0
334.06,467.032093543902,2364.0
319.68,433.05045618264853,2001.0
459.12,645.3184528587417,3310.0
459.82,970.995791751952,6739.0
834.3,2500.2281755871804,16353.0
1035.66,2952.270154372733,17844.0
415.62,1192.0364069943498,8646.0
2736.4,11975.927287688417,80279.0
34188.32,215244.68256079542,1537977.0
7436.28,42920.29583776887,305881.0
8473.2,56438.312432956394,403523.0
31746.64,207686.10102756132,1483515.0
4299.76,16461.319924671898,82982.0
41313.94,212366.03159030966,1414658.0
29875.36,149535.27510774977,934627.0
11620.74,53394.32952882168,309457.0
8772.14,33474.70076819806,183366.0
464188.74,2111020.1529096384,11009037.0
805249.26,2811471.6628628275,11592043.0
1205879.16,3610329.755332869,12427006.0
